binary,name,va,size,type,bind,shndx
SLUS_204.69,_sif_FsRcv_Data,0x994600,0,NOTYPE,LOCAL,14
SLUS_204.69,_cd,0x9945c0,0,NOTYPE,LOCAL,14
SLUS_204.69,_rcv_data_rpc,0x993f40,0,NOTYPE,LOCAL,14
SLUS_204.69,_fsversion,0x9945e8,0,NOTYPE,LOCAL,14
SLUS_204.69,_fswildcard,0x4aa348,4,OBJECT,LOCAL,5
SLUS_204.69,_fs_version,0x204600,140,FUNC,LOCAL,2
SLUS_204.69,_send_data,0x993300,0,NOTYPE,LOCAL,14
SLUS_204.69,ip0.55,0x9932c4,0,NOTYPE,LOCAL,14
SLUS_204.69,_sceCallCode,0x205768,420,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x207468,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x207468,0,NOTYPE,LOCAL,2
SLUS_204.69,_bind,0x4aa34c,4,OBJECT,LOCAL,5
SLUS_204.69,cd,0x994680,0,NOTYPE,LOCAL,14
SLUS_204.69,sdata,0x994700,0,NOTYPE,LOCAL,14
SLUS_204.69,rdata,0x9946c0,0,NOTYPE,LOCAL,14
SLUS_204.69,_lih_data,0x994740,0,NOTYPE,LOCAL,14
SLUS_204.69,gcc2_compiled.,0x207768,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x207768,0,NOTYPE,LOCAL,2
SLUS_204.69,_bind_check,0x4aa350,4,OBJECT,LOCAL,5
SLUS_204.69,_lf_bind,0x207768,256,FUNC,LOCAL,2
SLUS_204.69,cd,0x994a40,0,NOTYPE,LOCAL,14
SLUS_204.69,_senddata,0x994840,0,NOTYPE,LOCAL,14
SLUS_204.69,_lfversion,0x994a68,0,NOTYPE,LOCAL,14
SLUS_204.69,_lfwildcard,0x4aa354,4,OBJECT,LOCAL,5
SLUS_204.69,_lf_version,0x207868,140,FUNC,LOCAL,2
SLUS_204.69,_sceSifLoadModuleBuffer,0x207930,520,FUNC,LOCAL,2
SLUS_204.69,_sceSifLoadModule,0x207f40,548,FUNC,LOCAL,2
SLUS_204.69,_sceSifLoadElfPart,0x2081a8,260,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x2084c8,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x2084c8,0,NOTYPE,LOCAL,2
SLUS_204.69,rdata,0x994a80,0,NOTYPE,LOCAL,14
SLUS_204.69,gcc2_compiled.,0x208778,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x208778,0,NOTYPE,LOCAL,2
SLUS_204.69,tlbsrc,0x4ab2f0,808,OBJECT,LOCAL,5
SLUS_204.69,Copy,0x208860,16,FUNC,LOCAL,2
SLUS_204.69,kCopy,0x208870,56,FUNC,LOCAL,2
SLUS_204.69,SysEntry,0x4ab660,64,OBJECT,LOCAL,5
SLUS_204.69,GetEntryAddress,0x2088a8,16,FUNC,LOCAL,2
SLUS_204.69,setup,0x2088b8,16,FUNC,LOCAL,2
SLUS_204.69,_SetTLBEntry,0x2089a0,16,FUNC,LOCAL,2
SLUS_204.69,kernelTLB,0x4ab6a0,208,OBJECT,LOCAL,5
SLUS_204.69,defaultTLB,0x4ab770,288,OBJECT,LOCAL,5
SLUS_204.69,extendTLB,0x4ab890,128,OBJECT,LOCAL,5
SLUS_204.69,InitTLB32MB,0x208a80,500,FUNC,LOCAL,2
SLUS_204.69,EEREG,0x996740,0,NOTYPE,LOCAL,14
SLUS_204.69,EERH0,0x996940,0,NOTYPE,LOCAL,14
SLUS_204.69,EERH1,0x996948,0,NOTYPE,LOCAL,14
SLUS_204.69,EERL0,0x996950,0,NOTYPE,LOCAL,14
SLUS_204.69,EERL1,0x996958,0,NOTYPE,LOCAL,14
SLUS_204.69,EERSA,0x996960,0,NOTYPE,LOCAL,14
SLUS_204.69,EEEPC,0x996968,0,NOTYPE,LOCAL,14
SLUS_204.69,hstack,0x996740,0,NOTYPE,LOCAL,14
SLUS_204.69,EER00,0x996740,0,NOTYPE,LOCAL,14
SLUS_204.69,EERAT,0x996750,0,NOTYPE,LOCAL,14
SLUS_204.69,EERV0,0x996760,0,NOTYPE,LOCAL,14
SLUS_204.69,EERV1,0x996770,0,NOTYPE,LOCAL,14
SLUS_204.69,EER04,0x996780,0,NOTYPE,LOCAL,14
SLUS_204.69,EER05,0x996790,0,NOTYPE,LOCAL,14
SLUS_204.69,EER06,0x9967a0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER07,0x9967b0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER08,0x9967c0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER09,0x9967d0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER10,0x9967e0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER11,0x9967f0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER12,0x996800,0,NOTYPE,LOCAL,14
SLUS_204.69,EER13,0x996810,0,NOTYPE,LOCAL,14
SLUS_204.69,EER14,0x996820,0,NOTYPE,LOCAL,14
SLUS_204.69,EER15,0x996830,0,NOTYPE,LOCAL,14
SLUS_204.69,EER16,0x996840,0,NOTYPE,LOCAL,14
SLUS_204.69,EER17,0x996850,0,NOTYPE,LOCAL,14
SLUS_204.69,EER18,0x996860,0,NOTYPE,LOCAL,14
SLUS_204.69,EER19,0x996870,0,NOTYPE,LOCAL,14
SLUS_204.69,EER20,0x996880,0,NOTYPE,LOCAL,14
SLUS_204.69,EER21,0x996890,0,NOTYPE,LOCAL,14
SLUS_204.69,EER22,0x9968a0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER23,0x9968b0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER24,0x9968c0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER25,0x9968d0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER26,0x9968e0,0,NOTYPE,LOCAL,14
SLUS_204.69,EER27,0x9968f0,0,NOTYPE,LOCAL,14
SLUS_204.69,EERGP,0x996900,0,NOTYPE,LOCAL,14
SLUS_204.69,EERSP,0x996910,0,NOTYPE,LOCAL,14
SLUS_204.69,EERFP,0x996920,0,NOTYPE,LOCAL,14
SLUS_204.69,EERRA,0x996930,0,NOTYPE,LOCAL,14
SLUS_204.69,gcc2_compiled.,0x208fe0,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x208fe0,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209040,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209040,0,NOTYPE,LOCAL,2
SLUS_204.69,supplement_crt0,0x209040,72,FUNC,LOCAL,2
SLUS_204.69,kFindAddress,0x209088,52,FUNC,LOCAL,2
SLUS_204.69,SysEntry,0x4aa358,12,OBJECT,LOCAL,5
SLUS_204.69,FindAddress,0x2090c0,16,FUNC,LOCAL,2
SLUS_204.69,GetSystemCallTableEntry,0x2090d0,60,FUNC,LOCAL,2
SLUS_204.69,setup,0x209110,16,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209180,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209180,0,NOTYPE,LOCAL,2
SLUS_204.69,osdsrc,0x4aa370,1960,OBJECT,LOCAL,5
SLUS_204.69,setup,0x209180,16,FUNC,LOCAL,2
SLUS_204.69,Copy,0x209190,16,FUNC,LOCAL,2
SLUS_204.69,kCopy,0x2091a0,56,FUNC,LOCAL,2
SLUS_204.69,GetEntryAddress,0x2091d8,16,FUNC,LOCAL,2
SLUS_204.69,PatchIsNeeded,0x2091e8,104,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209300,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209300,0,NOTYPE,LOCAL,2
SLUS_204.69,TerminateLibrary,0x209300,8,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209410,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209410,0,NOTYPE,LOCAL,2
SLUS_204.69,__ps2_libinfo__,0x4ab930,16,OBJECT,LOCAL,5
SLUS_204.69,gp.6,0x4ab940,16,OBJECT,LOCAL,5
SLUS_204.69,gcc2_compiled.,0x2095b0,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x2095b0,0,NOTYPE,LOCAL,2
SLUS_204.69,init_vif_regs.3,0x4ab950,32,OBJECT,LOCAL,5
SLUS_204.69,gcc2_compiled.,0x209618,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209618,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209888,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209888,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209948,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209948,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209a10,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209a10,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209bf8,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209bf8,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209ce0,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209ce0,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x209d78,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x209d78,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x20a090,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x20a090,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x20a278,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x20a278,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x20a3b8,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x20a3b8,0,NOTYPE,LOCAL,2
